Company,City,State,FoundName01,Country of Birth,FoundName02,Country of Birth,FoundName03,Country of Birth,Product/Service,"Number of
Employees","Latest Company Valuation (USD, billions)",ImmiOrNot,
ContextLogic,San Francisco,CA,Peter Szulczewski,Canda,Danny Zhang,Canada,,,"Developer of mobile shopping app, Wish",n/a,3,1,
Razer,Irvine,CA,Min-Liang Tan,Singapore,,,,,Products directed at gamers,600+,1,1,
Tanium,Emeryville,CA,David Hindawi,Iraq,,,,,IT security and systems management,300+,3.5,1,
Slack Tehcnologies,San Francisco,CA,Stewart Butterfield,Canada,Serguei Mourachov,Russia,Cal Henderson,UK,Application for team communication,300+,2.8,1,
Instacart,San Francisco,CA,Apoorva Mehta,India,,,,,Internet-based grocery delivery,300+,2,1,
Stitch Fix,,,,US,,,,,,6600,2.8,0,
Lyft,,,John Zimmer,US,,,Logan Green,,,4791,24.3,0,
SpaceX,Hawthorne,CA,Elon Musk,South Africa,,,,,"Designs, manufactures, and launches rockets and spacecraft",4000,12,1,
Mu Sigma,Northbrook,IL,Dhiraj Rajaram,India,,,,,Provider of Big Data and analytics solutions for companies,3500,1.5,1,
Snap,,,Bobby Murphy,US,Reggie Brown,,Evan Spiegel,,,3069,10,0,
Blue Apron,,,Ilia Papas,US,Matt Salzberg,,,,,3000,0.24,0,
DocuSign,,,Court Lorenzini,US,Tom Gonser,,Eric Ranft,,,2255,6.9,0,
Palantir Technologies,Palo Alto,CA,Peter Thiel,Germany,,,,,"Software to connect data, technologies, people and environments",2000,20,1,
Magic Leap,,,Brian Schowengerdt,US,Rony Abovitz,,,,,1801,2,0,
Dropbox,,,Drew Houston,US,Arash Ferdowsi,,,,,1500,7.1,0,
Sonos,,,,,,,,,,1478,1.2,,
Zenefits,San Francisco,CA,Laks Srini,India,,,,,Helps companies manage and automate human resources functions,1465,4.5,1,
Bloom Energy,Sunnyvale,CA,KR Sridhar,India,,,,,Power generation,1409,1.9,1,
WeWork,New York,NY,Adam Neumann,Israel,,,,,Shared workspaces and services for individuals and businesses,1200,10,1,
Anaplan,,,Guy Haddleton,US,Michael Gould,,,,,1102,3,0,
Cloudera,Palo Alto,CA,Amr Awadallah,Egypt,,,,,data management and software platform,1100,4.1,1,
Apttus,San Mateo,CA,Krik Krapper,UK,,,,,Software built on the Salesforce1 platform.,1100,1,1,
Tenable,,,,US,,,,,,1054,2.65,0,
Eventbrite,San Francisco,CA,Renaud Visage,France,,,,,Self-service ticketing platform for events,1016,2.4,1,
AppNexus,New York,NY,Mike Nolet,Holland,,,,,Cloud-based software for online advertising,1000,1.2,1,
Elastic,,,,US,,,,,,994,4.8,0,
MongoDB,,,Dwight Merriman,US,Kevin Ryan,,Eliot Horowitz,,,962,4.26,0,
Uber Technologies,San Francisco,CA,Garrett Camp,Canada,,,,,Transportation network company,900,51,1,
GreenSky,,,David Zalik,US,,,,,,900,2,0,
AppDynamics,San Francisco,CA,Jyoti Bansal,India,,,,,Application performance management.,900,1,1,
Github,,,Tom Preston-Werner,US,Chris Wanstrath,,P.J. Hyett,,,888,2,0,
Nutanix,San Jose,CA,Dheeraj Pandey,India,Ajeet Singh,India,Mohit Aron,India,Provider of solutions for enterprise datacenter infrastructure,864,2,1,
Avant,Chicago,IL,Al Goldstein,Uzbekistan,John Sun,China,Paul Zhang,China,Online consumer credit,850,2,1,
